北京市,Beijing,1586,409,13.01
天津市,Tianjin,780,200,10.54
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,263,95,11.73
  唐山市,  Tangshan,210,71,5.42
  秦皇岛市,  Qinhuangdao,103,26,20.08
  邯郸市,  Handan,124,47,26.78
  邢台市,  Xingtai,90,34,21.18
  保定市,  Baoding,139,44,42.51
  张家口市,  Zhangjiakou,85,21,22.61
  承德市,  Chengde,66,20,5.27
  沧州市,  Cangzhou,68,25,37.16
  廊坊市,  Langfang,66,22,22.60
  衡水市,  Hengshui,43,10,7.13
山西省,Shanxi,,,
  太原市,  Taiyuan,309,65,20.60
  大同市,  Datong,125,43,6.01
  阳泉市,  Yangquan,44,16,6.75
  长治市,  Changzhi,59,16,17.66
  晋城市,  Jincheng,45,12,31.47
  朔州市,  Shuozhou,40,12,0.97
  晋中市,  Jinzhong,53,17,4.02
  运城市,  Yuncheng,41,19,3.37
  忻州市,  Xinzhou,34,14,1.71
  临汾市,  Linfen,52,22,3.95
  吕梁市,  Lvliang,23,8,1.72
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,265,74,12.83
  包头市,  Baotou,190,59,6.41
  乌海市,  Wuhai,57,18,3.25
  赤峰市,  Chifeng,81,38,1.14
  通辽市,  Tongliao,76,22,2.09
  鄂尔多斯市,  Erdos,113,33,4.47
  呼伦贝尔市,  Hulunbuir,91,26,5.62
  巴彦淖尔市,  Bayannur,53,20,2.25
  乌兰察布市,  Ulanqab,68,26,12.90
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,465,156,13.40
  大连市,  Dalian,378,105,14.73
  鞍山市,  Anshan,170,58,21.46
  抚顺市,  Fushun,136,34,9.60
  本溪市,  Benxi,92,28,6.06
  丹东市,  Dandong,53,20,5.63
  锦州市,  Jinzhou,77,35,9.33
  营口市,  Yingkou,110,33,15.67
  阜新市,  Fuxin,160,43,32.65
  辽阳市,  Liaoyang,104,37,9.62
  盘锦市,  Panjin,73,26,29.08
  铁岭市,  Tieling,43,18,6.53
  朝阳市,  Chaoyang,53,16,4.66
