北京市,Beijing,1345.20,1345.20,1339.30,1339.30,3.70,3.91
天津市,Tianjin,1026.90,1026.90,1021.78,1021.78,2.94,3.59
河北省,Hebei,,,,,
  石家庄市,  Shijiazhuang,1028.84,410.33,1026.89,409.15,11.78,7.58
  唐山市,  Tangshan,754.96,334.28,754.06,331.87,3.16,2.19
  秦皇岛市,  Qinhuangdao,295.64,140.53,295.34,115.05,1.77,4.08
  邯郸市,  Handan,1049.70,175.71,1039.59,168.37,17.92,9.58
  邢台市,  Xingtai,780.39,88.14,727.54,46.26,13.28,8.35
  保定市,  Baoding,1202.19,282.25,1152.10,283.03,7.46,17.83
  张家口市,  Zhangjiakou,469.01,91.24,468.79,90.97,2.58,3.33
  承德市,  Chengde,382.35,59.65,381.54,59.46,5.49,6.43
  沧州市,  Cangzhou,774.36,54.97,771.36,54.97,10.92,8.79
  廊坊市,  Langfang,461.13,85.06,455.27,84.67,10.70,6.19
  衡水市,  Hengshui,452.26,55.90,452.41,55.12,-0.12,3.32
山西省,Shanxi,,,,,
  太原市,  Taiyuan,367.39,285.09,368.57,288.91,3.39,3.02
  大同市,  Datong,316.22,156.98,317.53,157.30,0.63,0.43
  阳泉市,  Yangquan,132.16,70.02,132.67,70.43,1.45,1.62
  长治市,  Changzhi,336.85,73.47,341.24,79.39,2.84,4.46
  晋城市,  Jincheng,219.44,37.75,219.18,37.50,2.80,8.90
  朔州市,  Shuozhou,161.51,66.77,175.81,72.69,4.72,5.38
  晋中市,  Jinzhong,329.66,61.23,330.08,61.23,2.26,2.37
  运城市,  Yuncheng,510.20,68.17,510.20,68.17,4.38,4.84
  忻州市,  Xinzhou,306.52,54.13,313.49,55.84,1.01,2.19
  临汾市,  Linfen,430.59,80.93,429.78,80.57,7.10,7.52
  吕梁市,  Lvliang,387.48,28.04,382.27,32.98,4.89,7.25
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,238.58,130.10,238.28,128.95,5.35,4.97
  包头市,  Baotou,223.86,155.62,223.79,153.61,3.21,3.30
  乌海市,  Wuhai,44.49,44.49,55.50,55.50,3.43,3.43
  赤峰市,  Chifeng,462.63,125.78,464.22,125.79,4.53,6.05
  通辽市,  Tongliao,319.37,85.44,319.40,84.90,2.87,0.93
  鄂尔多斯市,  Erdos,157.32,28.08,156.64,27.75,9.46,11.84
  呼伦贝尔市,  Hulunbuir,259.30,37.01,262.59,37.05,-0.38,-0.50
