北京市,Beijing,256691300,256691300,118198,118198,6.80,6.80
天津市,Tianjin,178853900,178853900,115053,115053,9.10,9.10
河北省,Hebei,,,,,,
  石家庄市,  Shijiazhuang,59277293,32148250,55177,67493,6.80,7.30
  唐山市,  Tangshan,63548675,33238336,81239,93110,6.80,7.40
  秦皇岛市,  Qinhuangdao,13493526,9340031,73755,56805,7.00,7.40
  邯郸市,  Handan,33370903,13663695,35265,38365,6.08,5.99
  邢台市,  Xingtai,19757460,3143341,27038,33372,7.10,6.70
  保定市,  Baoding,34771269,11416785,29992,40087,7.20,5.40
  张家口市,  Zhangjiakou,14659911,6652782,33142,4134,7.00,5.69
  承德市,  Chengde,14385741,3051752,40741,46535,6.95,6.26
  沧州市,  Cangzhou,35446800,7104329,47425,100717,7.90,8.49
  廊坊市,  Langfang,27063015,9031261,58972,105362,8.00,8.30
  衡水市,  Hengshui,14201825,3998117,31955,42121,7.80,7.70
山西省,Shanxi,,,,,,
  太原市,  Taiyuan,29556045,27549377,68234,77896,7.50,7.40
  大同市,  Datong,10257962,8186718,30046,45710,1.00,0.79
  阳泉市,  Yangquan,6228625,4014561,44461,54350,3.39,3.40
  长治市,  Changzhi,12704767,3720097,37063,46601,4.60,6.30
  晋城市,  Jincheng,10493400,2498081,45271,50783,3.90,5.00
  朔州市,  Shuozhou,9180640,4529330,52010,124078,4.20,
  晋中市,  Jinzhong,10911041,2162832,32646,32190,5.10,5.20
  运城市,  Yuncheng,12223486,2248834,23106,32162,4.00,5.70
  忻州市,  Xinzhou,7161357,1200652,22747,21405,4.70,3.90
  临汾市,  Linfen,12051761,2612024,27102,26823,3.40,4.50
  吕梁市,  Lvliang,9953079,704473,25896,21239,4.10,5.40
内蒙古自治区,Inner Mongolia,,,,,,
  呼和浩特市,  Hohhot,31735900,23657500,103235,109106,7.75,7.95
  包头市,  Baotou,38676300,34850571,136021,152817,7.60,7.90
  乌海市,  Wuhai,5722261,5722261,102725,102725,6.80,6.80
  赤峰市,  Chifeng,19332792,8478442,44936,60764,7.30,6.90
  通辽市,  Tongliao,19493818,7296811,62424,78948,7.40,7.70
  鄂尔多斯市,  Erdos,44179341,10267100,215488,155409,7.30,7.40
  呼伦贝尔市,  Hulunbuir,16208500,3689583,64140,91359,7.00,6.85
  巴彦淖尔市,  Bayannur,9153800,2973000,54480,53810,7.00,7.50
  乌兰察布市,  Ulanqab,9388700,1879000,44517,,6.80,7.01
辽宁省,Liaoning,,,,,,
  沈阳市,  Shenyang,55464498,49225697,66893,71120,-5.60,-2.93
  大连市,  Dalian,68101998,38556875,97470,113529,6.50,6.64
  鞍山市,  Anshan,14619713,7395813,40532,46901,-10.30,-5.00
  抚顺市,  Fushun,8650721,7308829,41741,50577,-7.10,-4.30
  本溪市,  Benxi,7667098,5319574,44745,47517,-8.80,-7.00
  丹东市,  Dandong,7512352,2143736,31223,27336,-2.10,1.60
  锦州市,  Jinzhou,10328139,,33692,,-6.55,
  营口市,  Yingkou,11562477,7335429,47358,66714,-7.50,-6.45
  阜新市,  Fuxin,4078179,2022941,22956,32141,-12.30,-10.40
  辽阳市,  Liaoyang,6541758,4169004,35476,,,
  盘锦市,  Panjin,10071351,8368189,70110,72544,-4.20,-3.50
  铁岭市,  Tieling,5880423,1249816,22178,28745,-4.60,-1.20
  朝阳市,  Chaoyang,7165334,1800369,24285,27094,-6.00,-2.84
  葫芦岛市,  Huludao,6473518,3172837,25347,41017,1.10,-0.20
吉林省,Jilin,,,,,,
  长春市,  Changchun,59864200,47070059,79434,109257,7.70,7.60
  吉林市,  Jilin,24535091,14427815,57818,79569,3.10,4.60
  四平市,  Siping,11938035,2163395,36732,36959,-0.80,-5.90
  辽源市,  Liaoyuan,7652485,4220181,63480,93695,6.40,12.30
  通化市,  Tonghua,9475914,2336600,42979,53023,-3.80,-31.10
  白山市,  Baishan,6966243,3503989,56411,58400,7.30,7.10
  松原市,  Songyuan,16516898,5206604,59413,78757,2.60,2.80
  白城市,  Baicheng,7001392,1817450,35892,36716,2.80,5.00
黑龙江省,Heilongjiang,,,,,,
  哈尔滨市,  Harbin,61016096,44726875,63445,81338,7.30,7.40
  齐齐哈尔市,  Qiqihar,13253110,6208060,25690,46106,6.15,4.50
  鸡西市,  Jixi,5183793,1647817,28647,19909,6.50,4.90
  鹤岗市,  Hegang,2641031,1316322,25244,20448,-1.20,-2.20
  双鸭山市,  Shuangyashan,4373971,1213525,29959,24783,2.60,2.40
  大庆市,  Daqing,26100031,21008498,94690,153506,1.90,0.80
  伊春市,  Yichun,2512167,1541046,21043,20317,2.90,3.98
  佳木斯市,  Jiamusi,8450332,4314432,36878,55627,6.40,6.60
  七台河市,  Qitaihe,2166414,1638973,26500,32529,0.60,0.40
  牡丹江市,  Mudanjiang,13681181,3479095,49618,35929,6.60,6.90
  黑河市,  Heihe,4708056,337171,27889,32992,6.20,1.40
  绥化市,  Suihua,13163122,1667169,24109,20014,6.70,8.00
上海市,Shanghai,281786500,281786500,116562,116562,6.90,6.90
江苏省,Jiangsu,,,,,,
  南京市,  Nanjing,105030200,105030200,127264,127264,8.00,8.00
  无锡市,  Wuxi,92100200,47490200,141258,130935,7.50,7.70
  徐州市,  Xuzhou,58085200,30721800,66845,94402,8.20,6.00
  常州市,  Changzhou,57738600,49856600,122721,126424,8.50,8.40
  苏州市,  Suzhou,154750900,80084500,145556,145576,7.50,7.50
  南通市,  Nantong,67682000,24750300,92702,105599,9.30,9.20
  连云港市,  Lianyungang,23764800,13075900,52987,62788,7.80,7.70
  淮安市,  Huai'an,30480000,20623300,62446,67635,9.00,8.90
  盐城市,  Yancheng,45760800,18846400,63278,80123,8.90,9.00
  扬州市,  Yangzhou,44493800,29003000,99151,119578,9.40,9.30
  镇江市,  Zhenjiang,38338400,17116000,120603,139126,9.30,9.30
  泰州市,  Taizhou,41017800,17182700,88330,105789,9.50,10.50
  宿迁市,  Suqian,23511200,8604300,48311,54078,9.10,9.60
浙江省,Zhejiang,,,,,,
  杭州市,  Hangzhou,113137223,98354845,124286,134798,9.60,9.70
  宁波市,  Ningbo,86864911,55746604,110656,135769,7.10,6.70
  温州市,  Wenzhou,51015586,20547155,55779,47486,8.40,8.12
  嘉兴市,  Jiaxing,38621104,9704077,83968,78576,7.05,7.59
  湖州市,  Huzhou,22843743,10111736,77110,76369,7.64,7.11
  绍兴市,  Shaoxing,47890304,28018421,96204,102575,5.52,4.46
  金华市,  Jinhua,36849362,6931263,67158,61804,7.47,6.91
  衢州市,  Quzhou,12515883,5284700,58281,64613,7.20,7.00
  舟山市,  Zhoushan,12411989,9081679,107463,103395,11.35,11.43
  台州市,  Taizhou,38986594,14125346,64287,,7.80,7.20
