北京市,Beijing,599188,599188,121065,121065
天津市,Tianjin,513842,513842,122850,122850
河北省,Hebei,,,,
  石家庄市,  Shijiazhuang,441812,,158745,130889
  唐山市,  Tangshan,115879,114314,68386,42994
  秦皇岛市,  Qinhuangdao,154101,154101,35350,21406
  邯郸市,  Handan,57383,57383,76675,51559
  邢台市,  Xingtai,48874,48874,44666,15242
  保定市,  Baoding,215527,200800,73666,31798
  张家口市,  Zhangjiakou,17565,17565,40125,25762
  承德市,  Chengde,43063,43063,36527,14116
  沧州市,  Cangzhou,78262,56166,84753,22490
  廊坊市,  Langfang,,,29121,10800
  衡水市,  Hengshui,15596,15596,33561,23658
山西省,Shanxi,,,,
  太原市,  Taiyuan,432234,432234,120926,117951
  大同市,  Datong,28142,28142,27468,17505
  阳泉市,  Yangquan,14297,10882,7362,5731
  长治市,  Changzhi,38129,38129,34005,23385
  晋城市,  Jincheng,6325,6325,25590,17854
  朔州市,  Shuozhou,11357,11357,20827,6343
  晋中市,  Jinzhong,176197,132248,40066,16585
  运城市,  Yuncheng,55222,55222,44249,22933
  忻州市,  Xinzhou,26944,19738,24284,5982
  临汾市,  Linfen,47585,47585,25272,11863
  吕梁市,  Lvliang,23000,23000,23250,6732
内蒙古自治区,Inner Mongolia,,,,
  呼和浩特市,  Hohhot,237734,237734,42252,21161
  包头市,  Baotou,80246,80246,27132,24524
  乌海市,  Wuhai,4806,4806,9732,9732
  赤峰市,  Chifeng,21732,21732,34649,18596
  通辽市,  Tongliao,,,11655,5886
  鄂尔多斯市,  Erdos,7982,7982,7731,7731
  呼伦贝尔市,  Hulunbuir,19144,15110,11528,2712
  巴彦淖尔市,  Bayannur,10606,9952,18031,11044
  乌兰察布市,  Ulanqab,21054,,9927,
辽宁省,Liaoning,,,,
  沈阳市,  Shenyang,403589,403589,87577,84545
  大连市,  Dalian,290217,,68487,61114
  鞍山市,  Anshan,34113,34113,16530,11893
  抚顺市,  Fushun,44021,44021,13355,11288
  本溪市,  Benxi,28904,28904,9743,9141
  丹东市,  Dandong,27617,27617,16316,12548
  锦州市,  Jinzhou,82851,82851,26830,21538
  营口市,  Yingkou,21155,21155,18067,15599
  阜新市,  Fuxin,38192,38192,14443,12351
  辽阳市,  Liaoyang,17180,17180,13722,11208
  盘锦市,  Panjin,6865,6865,9894,8307
  铁岭市,  Tieling,18809,18809,14129,9020
  朝阳市,  Chaoyang,5393,5393,19715,7858
  葫芦岛市,  Huludao,19483,,13147,1186
吉林省,Jilin,,,,
  长春市,  Changchun,434366,434366,43630,40628
  吉林市,  Jilin,104018,104018,28839,23762
  四平市,  Siping,39028,39028,18109,13152
  辽源市,  Liaoyuan,5780,5780,2534,1616
  通化市,  Tonghua,12858,12858,7501,3521
  白山市,  Baishan,1713,1713,4028,1898
  松原市,  Songyuan,2772,2772,7082,2904
  白城市,  Baicheng,20130,20130,6257,3054
黑龙江省,Heilongjiang,,,,
  哈尔滨市,  Harbin,636240,628664,90510,84860
  齐齐哈尔市,  Qiqihar,55042,55042,29669,5651
  鸡西市,  Jixi,8725,8725,2527,1010
  鹤岗市,  Hegang,2234,,1433,499
  双鸭山市,  Shuangyashan,22231,8814,3811,474
  大庆市,  Daqing,60889,60889,7397,6836
  伊春市,  Yichun,1611,1611,6301,5952
  佳木斯市,  Jiamusi,31822,31822,4242,694
  七台河市,  Qitaihe,3149,3149,246,138
  牡丹江市,  Mudanjiang,41298,41298,9833,1255
  黑河市,  Heihe,9871,9871,9859,5076
  绥化市,  Suihua,,,6544,748
上海市,Shanghai,514683,514683,95235,95235
江苏省,Jiangsu,,,,
  南京市,  Nanjing,827773,827773,119909,119909
  无锡市,  Wuxi,113732,102348,66747,46530
  徐州市,  Xuzhou,140825,140825,100449,58626
  常州市,  Changzhou,123815,123815,63629,57503
  苏州市,  Suzhou,219271,161166,84738,53177
  南通市,  Nantong,94840,94840,82302,28908
  连云港市,  Lianyungang,38647,38647,58838,38216
  淮安市,  Huai'an,69653,69549,57584,42354
  盐城市,  Yancheng,69637,69637,69932,49681
  扬州市,  Yangzhou,80450,74417,61807,42204
  镇江市,  Zhenjiang,87481,87481,30413,20676
  泰州市,  Taizhou,59201,59201,31236,18324
  宿迁市,  Suqian,19852,19852,56897,32137
浙江省,Zhejiang,,,,
  杭州市,  Hangzhou,427978,406031,107735,94046
  宁波市,  Ningbo,155144,,65725,30793
  温州市,  Wenzhou,86276,86276,69106,20608
  嘉兴市,  Jiaxing,65441,55650,48224,14184
  湖州市,  Huzhou,26668,26668,28349,10072
  绍兴市,  Shaoxing,90277,84157,49763,28683
  金华市,  Jinhua,34566,34566,71579,29459
  衢州市,  Quzhou,13523,13523,28145,14367
  舟山市,  Zhoushan,24521,24521,7897,7300
  台州市,  Taizhou,34205,23073,79843,25016
  丽水市,  Lishui,36724,36724,29964,6376
安徽省,Anhui,,,,
  合肥市,  Hefei,499515,357313,102284,60274
  芜湖市,  Wuhu,165114,165114,52253,23964
  蚌埠市,  Bengbu,61292,59670,55979,20101
  淮南市,  Huainan,79932,78677,42661,26994
  马鞍山市,  Maanshan,53714,53714,33288,20931
  淮北市,  Huaibei,39800,39800,18058,15830
  铜陵市,  Tongling,36239,36239,13826,7890
  安庆市,  Anqing,40103,36453,48213,8941
  黄山市,  Huangshan,22555,22555,16079,5554
  滁州市,  Chuzhou,51397,28725,54967,14433
  阜阳市,  Fuyang,36943,36426,106035,41448
  宿州市,  Suzhou,23764,23764,52732,20005
  六安市,  Lu'an,40807,40807,69513,39210
  亳州市,  Bozhou,11219,11219,73355,24693
  池州市,  Chizhou,24178,24178,14475,9545
  宣城市,  Xuancheng,6802,6802,31950,10957
福建省,Fujian,,,,
  福州市,  Fuzhou,317477,317477,92392,64530
  厦门市,  Xiamen,142948,142948,44162,44162
  莆田市,  Putian,21005,16079,31185,20241
